time,open,high,low,close,amount,complete
2015-03-25 06:00:00,119.738,119.83,119.236,119.488,25922.0,True
2015-03-26 06:00:00,119.488,119.577,118.332,119.192,34431.0,True
2015-03-27 06:00:00,119.179,119.492,118.928,119.126,31660.0,True
2015-03-30 06:00:00,119.232,120.231,119.12,120.072,22766.0,True
2015-03-31 06:00:00,120.103,120.368,119.778,120.142,27599.0,True
2015-04-01 06:00:00,120.106,120.333,119.42,119.751,35908.0,True
2015-04-02 06:00:00,119.728,119.896,119.452,119.724,23335.0,True
2015-04-03 06:00:00,119.734,119.989,118.721,118.992,24067.0,True
2015-04-06 06:00:00,118.904,119.687,118.8,119.536,14450.0,True
2015-04-07 06:00:00,119.511,120.448,119.439,120.266,21711.0,True
2015-04-08 06:00:00,120.266,120.354,119.644,120.132,29287.0,True
2015-04-09 06:00:00,120.142,120.74,119.862,120.578,21658.0,True
2015-04-10 06:00:00,120.572,120.632,120.058,120.198,22270.0,True
2015-04-13 06:00:00,120.344,120.847,119.7,120.13,24543.0,True
2015-04-14 06:00:00,120.148,120.18,119.072,119.397,31096.0,True
2015-04-15 06:00:00,119.392,119.748,118.79,119.136,27661.0,True
2015-04-16 06:00:00,119.164,119.47,118.796,119.003,30544.0,True
2015-04-17 06:00:00,119.017,119.267,118.572,118.919,30830.0,True
2015-04-20 06:00:00,119.01,119.437,118.532,119.188,20907.0,True
2015-04-21 06:00:00,119.2,119.834,119.166,119.67,22395.0,True
2015-04-22 06:00:00,119.683,119.962,119.346,119.91,24830.0,True
2015-04-23 06:00:00,119.918,120.097,119.428,119.584,25369.0,True
2015-04-24 06:00:00,119.577,119.66,118.826,118.966,28251.0,True
2015-04-27 06:00:00,118.892,119.436,118.776,119.04,20998.0,True
2015-04-28 06:00:00,119.03,119.2,118.776,118.876,22769.0,True
2015-04-29 06:00:00,118.846,119.36,118.611,119.018,36816.0,True
2015-04-30 06:00:00,119.031,119.896,118.497,119.376,38990.0,True
2015-05-01 06:00:00,119.382,120.291,119.375,120.21,19767.0,True
2015-05-04 06:00:00,120.23,120.272,119.999,120.122,16098.0,True
2015-05-05 06:00:00,120.116,120.502,119.727,119.862,23385.0,True
2015-05-06 06:00:00,119.848,120.045,119.206,119.462,26929.0,True
2015-05-07 06:00:00,119.447,119.864,119.057,119.742,29431.0,True
2015-05-08 06:00:00,119.711,120.236,119.59,119.794,31295.0,True
2015-05-11 06:00:00,119.664,120.155,119.664,120.088,16810.0,True
2015-05-12 06:00:00,120.104,120.28,119.784,119.869,21673.0,True
2015-05-13 06:00:00,119.87,120.058,119.036,119.15,24446.0,True
2015-05-14 06:00:00,119.143,119.341,118.887,119.17,22532.0,True
2015-05-15 06:00:00,119.162,119.928,119.158,119.349,24786.0,True
2015-05-18 06:00:00,119.302,120.038,119.264,119.984,17391.0,True
2015-05-19 06:00:00,119.994,120.739,119.831,120.687,20155.0,True
2015-05-20 06:00:00,120.688,121.478,120.582,121.364,29793.0,True
2015-05-21 06:00:00,121.351,121.389,120.852,121.026,23135.0,True
2015-05-22 06:00:00,121.047,121.572,120.64,121.534,24107.0,True
2015-05-25 06:00:00,121.484,121.78,121.452,121.56,9431.0,True
2015-05-26 06:00:00,121.554,123.324,121.514,123.121,33586.0,True
2015-05-27 06:00:00,123.088,124.072,122.777,123.666,34099.0,True
2015-05-28 06:00:00,123.648,124.461,123.499,123.954,36714.0,True
2015-05-29 06:00:00,123.954,124.187,123.608,124.146,33544.0,True
2015-06-01 06:00:00,124.086,124.918,123.854,124.786,27381.0,True
2015-06-02 06:00:00,124.771,125.056,123.75,124.114,39663.0,True
2015-06-03 06:00:00,124.132,124.685,123.79,124.228,34151.0,True
2015-06-04 06:00:00,124.246,124.682,123.781,124.368,31911.0,True
2015-06-05 06:00:00,124.36,125.858,124.353,125.599,35653.0,True
2015-06-08 06:00:00,125.606,125.682,124.296,124.492,30859.0,True
2015-06-09 06:00:00,124.51,124.738,123.861,124.348,37578.0,True
2015-06-10 06:00:00,124.34,124.622,122.461,122.674,59622.0,True
2015-06-11 06:00:00,122.67,124.163,122.632,123.422,37688.0,True
2015-06-12 06:00:00,123.436,123.818,123.14,123.407,30313.0,True
2015-06-15 06:00:00,123.224,123.662,123.13,123.394,24657.0,True
2015-06-16 06:00:00,123.495,123.806,123.292,123.355,21198.0,True
2015-06-17 06:00:00,123.374,124.459,123.212,123.442,33508.0,True
2015-06-18 06:00:00,123.401,123.61,122.484,122.954,34004.0,True
2015-06-19 06:00:00,122.972,123.216,122.56,122.709,24071.0,True
2015-06-22 06:00:00,122.959,123.418,122.564,123.375,19572.0,True
2015-06-23 06:00:00,123.377,124.184,123.346,123.94,20149.0,True
2015-06-24 06:00:00,123.93,124.377,123.718,123.849,21127.0,True
2015-06-25 06:00:00,123.869,123.959,123.322,123.62,21536.0,True
2015-06-26 06:00:00,123.64,123.991,123.228,123.846,18653.0,True
2015-06-29 06:00:00,122.72,123.194,122.114,122.548,56397.0,True
2015-06-30 06:00:00,122.528,122.73,121.94,122.499,35473.0,True
2015-07-01 06:00:00,122.512,123.235,122.364,123.171,28305.0,True
2015-07-02 06:00:00,123.17,123.735,122.958,123.062,24506.0,True
2015-07-03 06:00:00,123.081,123.186,122.604,122.771,21878.0,True
2015-07-06 06:00:00,121.934,122.928,121.868,122.573,40004.0,True
2015-07-07 06:00:00,122.56,122.882,122.014,122.542,29822.0,True
2015-07-08 06:00:00,122.57,122.575,120.414,120.7,48671.0,True
2015-07-09 06:00:00,120.688,121.577,120.465,121.338,34239.0,True
2015-07-10 06:00:00,121.339,122.882,121.279,122.798,37116.0,True
2015-07-13 06:00:00,122.176,123.535,122.169,123.43,28870.0,True
2015-07-14 06:00:00,123.416,123.73,122.92,123.385,21029.0,True
2015-07-15 06:00:00,123.404,123.972,123.263,123.768,21915.0,True
2015-07-16 06:00:00,123.753,124.18,123.74,124.146,20896.0,True
